WEB;CORREO ELECTRONICO;EVALUACIÓN;Escriba OBSERVACIONES TEXTO;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO
;;;;ESTYMA ESTUDIOS Y MANEJOS SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Empaquetaduras y Empaques S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIA DE ALIMENTOS ZENU S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CAMILO ALBERTO MEJIA Y CIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MARINILLA-ANTIOQUIA
;;;;HUMAX PHARMACEUTICAL S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;C.I. HERMECO S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Alcotra Colombia S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LABORATORIOS ECAR SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DROPOPULAR S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUCIONES AGRALBA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;TRANSGRANELES S.A.S.;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;FLORES EL CAPIRO SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Unidad Medica Y De Diagnostico S.A;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Mundial de Granos y Panelas S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;COMPAÑIA DE ALIMENTOS COLOMBIANOS CALCO S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BBB
;;;;PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ENECON SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PPG INDUSTRIES COLOMBIA LTDA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Clinica Cardio Vid;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LOCERIA COLOMBIANA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;CALDAS-ANTIOQUIA
;;;;Amtex SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EUROCERAMICA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;TERMOELECTRICA EL TESORITO SAS ESP;SUPERSERVICIOS;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ARANGO HERMANOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SANTA ROSA DE OSOS-ANTIOQUIA
;;;;TEXCOMERCIAL - TEXCO S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIKIA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TINTATEX S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MARINILLA-ANTIOQUIA
;;;;ESTUDIO DE MODA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INGENIERIA Y VIAS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL ROCAH SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LA SA SOCIEDAD DE APOYO AERONAUTICO S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ZAPATA Y VELASQUEZ SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ESPUMAS PLASTICAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;MAQUILA INTERNACIONAL DE CONFECCION S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;Sator S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TRILLADORA LA MONTAÑA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;GRANIPACK SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;ARUS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CRISTAR TABLETOP S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES FERBIENES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;PROYECTOS DE INVERSION VIAL DEL PACIFICO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;DISMERCA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CI JSW CORPORATION S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;STOP S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;C.I. GESTION EL REAL S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;CAUCASIA-ANTIOQUIA
;;;;VISDECOL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;NUTRIUM S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;QUIPUX S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PANAMERICANA DE ALIMENTOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;SUPERCARNES JH SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COLENER S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Evonik Colombia SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GENETICA BIOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;"MICROPLAST ANTONIO PALACIO & CIA SAS """;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;HOGAR Y MODA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SERACIS LTDA;SUPERVIGILANCIA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TECNAS S.A BIC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;LATINOAMERICANA DE CONSTRUCCIÓNES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GASES INDUSTRIALES DE COLOMBIA S.A CRYOGAS S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Solenis Colombia S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;CARIBE MOTOR DE MEDELLIN S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUIDORA TROPICANA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;STANDARD GOLD DE COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUIDORA COLOMBIANA DE SENTIMIENTOS DE BELLEZA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ASEAR S.A. E.S.P.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;BIOPLANTA PALMERA PARA EL DESARROLLO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;CAREPA-ANTIOQUIA
;;;;Agrícola Sara Palma S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONSTRUCTORA AIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;NUTRISER COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CADENA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;DYNA Y CIA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;PRAGMA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Perez y Cardona SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Operaciones Generales Suramericana S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;HB FULLER COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;NUVANT SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;INDUSTRIAS ALIMENTICIAS PERMAN SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONSULTORIA EN GESTION DE RIESGOS SURAMERICANA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LUM LOGISTIC S A S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CHACAM TRADING SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA CEJA-ANTIOQUIA
;;;;FEDERAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;FERROSVEL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Compañia de alimentos Antillana S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;INDUSTRIA COLOMBIANA DE LOGISTICA Y TRANSPORTE SAS BIC;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;UNIBAN LOGISTICA S.A;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TRIPLE ALIANZA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;AGENCIA DE AUTOMOVILES S.A. AGENCIA DE AUTOMOVILES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CACHARRIA MUNDIAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INTERAMERICANA DE PRODUCTOS QUIMICOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;NAVAR ASOCIADOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AYURA MOTOR S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;CONINSA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MARROCAR S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Mattelsa SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMPAÑIA DE DISTRIBUCION Y TRANSPORTE S.A.S. BIC;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;COOPERATIVA DE VIGILANCIA Y SEGURIDAD PROFESIONAL DE ANTIOQUIA COOPEVIAN;SUPERVIGILANCIA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ATLETICO NACIONAL SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CORRUMED S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;UNION ELECTRICA S.A. EN PROCESO DE NEGOCIACIÓN DE EMERGENCIA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;FRANCORP S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TRONEX S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EMPAQUETADOS EL TRECE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CELSA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;CMX S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Instituto Colombiano Del Dolor S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;JARAMILLO PETS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PALAREPAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MANPOWER PROFESSIONAL LTDA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;AKZONOBEL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SCRIBE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IG Services S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ALEMAUTOS S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMESTIBLES DAN SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;OPPERAR COLOMBIA S.A.S;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONQUIMICA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;Molinos Santa Marta S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGROSURA SAS ZOMAC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SALGAR-ANTIOQUIA
;;;;Promotora Medica Y Odontologica De Antioquia S.A;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GONVARRI MS COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;TRANSPORTADORA DE METANO E.S.P. S.A.;SUPERSERVICIOS;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MICRODENIER S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PRODENVASES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GLOBAL SERVICE PHARMACEUTICAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IVANAGROS.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MILAGROS ENTERPRISE GROUP SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;AVERY DENNISON COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;MAPEI COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;SANDVIK COLOMBIA S A S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;RECUPERAR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PRODUCTOS RIKATAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;OCELOTE MINERALS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL BANA RICA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ESTRATEGIA COMERCIAL DE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;INGENIERIA TRANSPORTE Y MAQUINARIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Grupo Oncologico Internacional S.A. Y/O Clinica De Oncología Astorga;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIAS ALIADAS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGRICOLA SANTAMARIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GRUPO LITORAL S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LABORATORIOS DELTA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;ODINSA S.A.;SUPERFINANCIERA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ANTIOQUEÑA DE AUTOMOTORES Y REPUESTOS S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MCM COMPANY S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EXPLANAN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL OROMETRO S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LICOSINU S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUIDORA KIRAMAR S.A.SDISTRIBUIDORA KIRAMAR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;COLOMBIANA FLEXOGRAFICA DE PLASTICOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;COMERCIAL +BIOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Laboratorio Clinico Colmedicos Ips S.A.S - Colmedicos S.A.S;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES LA BUONAVITA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Productora y comercializadora odontologica New Stetic S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;PRODUCTOS FAMILIA RIONEGRO S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;ACEROS MAPA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;TRANSPORTADORA DE CARGA ANTIOQUIA S.A.S.;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;SEGURIDAD RECORD DE COLOMBIA LTDA;SUPERVIGILANCIA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;JARABA Y ASOCIADOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SUPERMERCADOS MERKAHORRO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;ESTACIONES INNOVADORAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SIMEX;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;GRUPO IMSA S.A.;SUPERFINANCIERA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PAPELES Y NEGOCIOS S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES BONANZA J Y C SOCIEDAD ANONIMA SIMPLIFICADA O IBJYC SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Eche SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERPRIMOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
