WEB;CORREO ELECTRONICO;EVALUACIÓN;Escriba OBSERVACIONES TEXTO;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO
;;;;ELECTRO PORCELANA GAMMA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;CUARZO AMARILLO S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;VIAS Y EXPLANACIONES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ST JUDE MEDICAL COLOMBIA LTDA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;"IDOM CONSULTING; ENGINEERING; ARCHITECTURE S.A.U.";SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;BEMA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;IGB MOTORCYCLE PARTS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;EMERGIA CUSTOMER CARE COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;MUNDIAL DE REPUESTOS DE MOTOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;HL COMBUSTIBLES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EL ROBLE MOTOR S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Inversiones Dama Salud Sas;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGRO GRAIN SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;GENIUS SPORTS SERVICES COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ABC CORPORATION S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CARNICOS Y ALIMENTOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SOCODA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;PAULANDIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BARBOSA-ANTIOQUIA
;;;;QUIMTIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUCIONES RIOGRANDE S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;DON MATIAS-ANTIOQUIA
;;;;COLHILADOS LTD;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;CEDIALCO;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;CONIX SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;O-TEK CENTRAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Ascensores Schindler de Colombia SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PANDAPAN DISTRIBUCIONES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;LIBREVILLE S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;O-TEK INTERNACIONAL S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SUPERCERDO PAISA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PROVEEDORA SAN FERNANDO OROZCO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;QUIMICOS Y PLASTICOS INDUSTRIALES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;ONELINK S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DIESEL ANDINO S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;YOYO S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;COMERCIALIZADORA Y REPRESENTACIONES ANTIOTRADING SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL ELEVEN CORPORATION S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGUA BENDITA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;COMERCIALIZADORA INTERNACIONAL TOSCANO GROUP SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;TEAM COMMUNICATIONS S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;MISION EMPRESARIAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DAR AYUDA TEMPORAL SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INSUMOS Y AGREGADOS DE COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;ALCANTARA ASOCIADOS S A S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;PROQUIDENT S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;ALMACEN RODAMIENTOS SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISWIFARMA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PLAZA MAYOR MEDELLIN CONVENCIONES Y EXPOSICIONES S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SERVICIO AEREO DE CAPURGANA S.A;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LA RECETA Y CIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;JARAMILLO RUENDES & ASOCIADOS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ALIANZA MAYORISTA S.AS.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;WESTFALIA FRUIT COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;CONCENTRIX SERVICIOS COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;DOBLAMOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;EDEMCO S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUIDORA COLOMBIA GC SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AUTOZEN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Clinica Antioquia S.A.;SUPERSALUD;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;SURTIALIMENTOS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;RTD SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;SUPERMERCADOS DINASTIA LA ABUNDANCIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;MEJIA ACEVEDO S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;DEPOSITO DE DROGAS MONACO;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIAS DE ALUMINIO ARQUITECTONICO Y VENTANERIA SAS - ALCO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;INVERSIONES MAXIFRUVER S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ADITIVOS Y QUIMICOS S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;COMPLEMENTOS HUMANOS S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ALMACENES FLAMINGO S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PLASMAR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONSTRUCTORA AGATA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SOFKA TECHNOLOGIES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LAUMAYER COLOMBIANA COMERCIALIZADORA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;NEGOCIOS CORE S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;COMERCIALIZADORA S.YE. Y CIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;PLASTICOS TRUHER S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;R&R Lubricantes SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;SERVICIOS ESPECIALIZADOS DE TECNOLOGIA E INFORMATICA SETI SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DOTAKONDOR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ACEROS TURIA DE COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CENTRO SUR S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;VIAPPIANI DE COLOMBIA S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA CEJA-ANTIOQUIA
;;;;PROCO INC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;CORRUGADOS DEL DARIEN S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;Huawei Technologies Managed Service COlombia S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PROCOPAL S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ABURRA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;InverBosques S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;PRODUCTOS ALIMENTICIOS ALCO S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;TECNOLOGIA ALIMENTARIA S.A.S. BIC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CFS LOGISTICS LLC SUCURSAL COLOMBIA;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;DISCURRAMBA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INGREDIENTES Y PRODUCTOS FUNCIONALES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;CONSTRUCTORA ALTOS DE LA ABADIA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SERVIREENCAUCHE DE COLOMBIA SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PRIMIUS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;LONDOÑO GOMEZ S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Audiocom Ips;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CORLANC S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;CEM ELECTRONIX S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIA PAPELERA INDUGEVI S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;JUAN NEUSTADTEL S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA
;;;;MUNDO YAMAHA SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRAS VEGA NATIPAN SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;FERRETERIA LOS FIERROS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;DISTRIBUIDORA SURTIVEL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;CAUCASIA-ANTIOQUIA
;;;;EL ZARZAL S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Pavimentar SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISPRESCO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;BARRABAS INVERSIONES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ASCENDER SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;ESPUMAS MEDELLIN S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;MAPER SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;lacteos el galan sa;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENTRERRIOS-ANTIOQUIA
;;;;SERVICIOS GENERALES SURAMERICANA S. A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SISTEMA ALIMENTADOR ORIENTAL SAS;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SELECTA COMPAÑIA DE CEREALES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;TIEMPOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SEGURIDAD ATEMPI DE COLOMBIA LTDA;SUPERVIGILANCIA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;"SETAS COLOMBIANAS S.A ""SETAS S.A";SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SULFOQUIMICA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;"CASA FERRETERA S.A.S
COMERCIALIZACION DE INSUMOS DE FERRETERIA Y MAQUINARIA LIVIANA
G4663 - Comercio al por mayor de materiales de construcción; artículos de ferretería; pinturas; productos de vidrio; equipo y materiales de fontanería y calefacción
01. AN";SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ESPECIALIDADES OFTALMOLOGICAS SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;De la granja Antioquia S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;RANKING SPORT SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CI FLORES DE LA VEGA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;ENETEL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;H Y R DISTRIBUCIONES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL DE NEGOCIOS NARANJA Y TECNOLOGIA FINANCIERA S.A.S BIC;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;GR LOGISTICA INTEGRAL S.A.S.;SUPERTRANSPORTE;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ALIMENTOS SEVILLA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ASEO Y SOSTENIMIENTO Y COMPAÑIA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CI DISTRIHOGAR SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;CEIBA SOFTWARE HOUSE S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ZOILO INVERSIONES SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INVERSIONES SANIN PEREZ;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;CONCENTRIX CRM COLOMBIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;PISENDE SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGUAS REGIONALES EPM S.A E.S.P;SUPERSERVICIOS;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;CAFE DE SANTA BARBARA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;HIERROS MADEBELLO SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;BELLO-ANTIOQUIA
;;;;MENSULA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;JABATO INVERSIONES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;AGROINDUSTRIAS LOS ROBLES S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;AUTOFAX SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ABSORBENTES DE COLOMBIA SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;TIERRUCA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Organizacion Santa Lucia S.A.;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;VENTAS DOBLE G S.A.S. EN REORGANIZACION;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;ByB Constructores sas;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;INDUSTRIAS ESTRA S.A.;SUPERFINANCIERA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ANDINA DE CONSTRUCCIÓNES Y ASOCIADOS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;UNION COMERCIAL ROPTIE S A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ITAGUI-ANTIOQUIA
;;;;MANE SUCURSAL COLOMBIA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GUARNE-ANTIOQUIA
;;;;INTEGRAL S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;SARY S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;COLPLAST SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;DISTRIBUCIONES FARMACEUTICAS HERSON S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;ARARY SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;COPACABANA-ANTIOQUIA
;;;;PERSONAL SOFT S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Sociedad Medica Antioqueña S.A. Soma;SUPERSALUD;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;FRESHCOLOMBIA INTERNATIONAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;GRUPO AL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;SABANETA-ANTIOQUIA
;;;;ABRASIVOS DE COLOMBIA S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA
;;;;INGELECTRICA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
